asset,symbol,horizon_trading_days,edge_z_risk_adjusted,prob_up,expected_log_return,ci_low_log,ci_high_log,profit_pln_on_1m_pln,profit_ci_low_pln,profit_ci_high_pln,signal
JPY per PLN,PLNJPY=X,1,0.4443117652774691,0.6664239211224063,0.0006105852735468981,-0.003936655188649707,0.005157825735743503,610.7717186800699,-3928.9167195044606,5171.15021750536,BUY
JPY per PLN,PLNJPY=X,3,0.5580158995436645,0.7048802607998246,0.0018317558206406943,-0.006044295694116808,0.009707807335398198,1833.434510160492,-6026.065686575932,9755.08094756794,BUY
JPY per PLN,PLNJPY=X,7,0.6999343615607858,0.7493024094223069,0.004274096914828287,-0.007756770499754334,0.016304964329410906,4283.243894096067,-7726.764389089924,16438.61566566973,BUY
JPY per PLN,PLNJPY=X,21,1.000767223869036,0.8286507105361152,0.01282229074448486,-0.008015782876697061,0.03366036436566678,12904.848798213075,-7983.74215677422,34233.28459307573,BUY
JPY per PLN,PLNJPY=X,63,1.521825025973298,0.9190643828794766,0.03846687223345458,0.0023742699897067177,0.07455947447720244,39216.30087272887,2377.090800712578,77409.41997876538,BUY
JPY per PLN,PLNJPY=X,126,2.0324824159545427,0.963916995089918,0.07693374446690916,0.025891096872463333,0.127976392061355,79970.51999959814,26229.182820159513,136526.17134022372,BUY
JPY per PLN,PLNJPY=X,252,2.754661022592066,0.9890004640144234,0.15386748893381832,0.0816822844463226,0.22605269342131407,166336.32406820208,85110.99841481195,253641.72220923397,BUY
Gold in PLN (PLN per troy oz),XAUUSD=X,1,0.32624176251586773,0.627041961501491,0.00112501026234008,-0.012438560007949958,0.014688580532630117,1125.6433237631925,-12361.520869879072,14796.987864597266,BUY
Gold in PLN (PLN per troy oz),XAUUSD=X,3,0.3873722247106329,0.6497486868265325,0.00337503078702024,-0.020117762053152834,0.026867823627193317,3380.732616238724,-19916.750105128613,27232.01798774899,BUY
Gold in PLN (PLN per troy oz),XAUUSD=X,7,0.46367148359920024,0.6773210967274566,0.007875071836380561,-0.02801076198895601,0.04376090566171713,7906.161772835984,-27622.09797530657,44732.5353901884,BUY
Gold in PLN (PLN per troy oz),XAUUSD=X,21,0.6254074840969844,0.7323994482341782,0.02362521550914168,-0.038530871948315046,0.08578130296659842,23906.50169401143,-37798.000769102444,89568.01695408867,BUY
Gold in PLN (PLN per troy oz),XAUUSD=X,63,0.9055424543721319,0.8147413947296951,0.07087564652742505,-0.03678185494858467,0.17853314800343478,73447.73061530052,-36113.62053983058,195462.50981208612,BUY
Gold in PLN (PLN per troy oz),XAUUSD=X,126,1.1800858777418028,0.8775851632706455,0.1417512930548501,-0.01049940562372434,0.29400199173342456,152290.03036313894,-10444.479263950645,341786.57614548237,BUY
Gold in PLN (PLN per troy oz),XAUUSD=X,252,1.5683489105315296,0.9377218125102165,0.2835025861097002,0.06818758315768075,0.49881758906171964,327772.3140742834,70566.10981609634,646772.9567163538,BUY
Silver in PLN (PLN per troy oz),XAGUSD=X,1,0.6509717303850613,0.7348570833222496,0.0080310927966722,-0.020521549263645886,0.03658373485699029,8063.4285282157325,-20312.415299006294,37261.15529595964,BUY
Silver in PLN (PLN per troy oz),XAGUSD=X,3,0.8668657434521361,0.7964547853809034,0.0240932783900166,-0.025361348348782436,0.07354790512881564,24385.866498624953,-25042.45093120905,76320.09668976614,BUY
Silver in PLN (PLN per troy oz),XAGUSD=X,7,1.1363312865558997,0.8583513760399027,0.0562176495767054,-0.019325540588739157,0.13176083974214997,57827.89447652736,-19139.999479015347,140835.44413910797,BUY
Silver in PLN (PLN per troy oz),XAGUSD=X,21,1.707533154679109,0.9401568352412514,0.16865294873011621,0.03780830519772871,0.2994975922625037,183709.2598282408,38532.13258405352,349180.79839933914,BUY
Silver in PLN (PLN per troy oz),XAGUSD=X,63,2.6968838116467637,0.9884289611852995,0.5059588461903486,0.2793292756940149,0.7325884166866823,658575.0766627771,322242.6545647283,1080458.7383641028,BUY
Silver in PLN (PLN per troy oz),XAGUSD=X,126,3.6664868426790878,0.9976889606229666,1.0119176923806972,0.6914150801499926,1.3324203046114018,1750871.2849269367,996538.797620475,2790205.7476941925,BUY
Silver in PLN (PLN per troy oz),XAGUSD=X,252,5.0377125992830605,0.9997149151937003,2.0238353847613944,1.570576243768727,2.4770945257540617,6567292.8262355765,3809418.793038918,10906619.735607008,BUY
